year	round	series	tmIDWinner	tmIDLoser	winsForWinner	lossesForWinner	ties	GoalsWinner	GoalsLoser	SeriesID
1996	CQF	B	BUF	OTT	4	3	0	14	13	609
1996	CQF	C	PHI	PIT	4	1	0	20	13	610
1996	CQF	D	NYR	FLO	4	1	0	13	10	611
1996	CQF	E	COL	CHI	4	2	0	28	14	612
1996	CQF	F	EDM	DAL	4	3	0	21	18	613
1996	CQF	G	DET	STL	4	2	0	13	12	614
1996	CQF	H	ANA	PHO	4	3	0	17	17	615
1996	CSF	I	NYR	NJD	4	1	0	10	5	616
1996	CSF	J	PHI	BUF	4	1	0	21	13	617
1996	CSF	K	COL	EDM	4	1	0	19	11	618
1996	CSF	L	DET	ANA	4	0	0	13	8	619
1996	CF	M	PHI	NYR	4	1	0	20	13	620
1996	CF	N	DET	COL	4	2	0	16	12	621
1996	SCF	O	DET	PHI	4	0	0	16	6	622
1997	CQF	A	OTT	NJD	4	2	0	13	12	623
1997	CQF	B	MTL	PIT	4	2	0	18	15	624
1997	CQF	C	BUF	PHI	4	1	0	18	9	625
1997	CQF	D	WAS	BOS	4	2	0	15	13	626
1997	CQF	E	DAL	SJS	4	2	0	16	12	627
1997	CQF	F	EDM	COL	4	3	0	19	16	628
1997	CQF	G	DET	PHO	4	2	0	24	18	629
1997	CQF	H	STL	LAK	4	0	0	16	8	630
1997	CSF	I	WAS	OTT	4	1	0	18	7	631
1997	CSF	J	BUF	MTL	4	0	0	17	10	632
1997	CSF	K	DAL	EDM	4	1	0	9	5	633
1997	CSF	L	DET	STL	4	2	0	23	13	634
1997	CF	M	WAS	BUF	4	2	0	13	11	635
1997	CF	N	DET	DAL	4	2	0	15	11	636
1997	SCF	O	DET	WAS	4	0	0	13	7	637
1998	CQF	A	PIT	NJD	4	3	0	21	18	638
1998	CQF	B	BUF	OTT	4	0	0	12	6	639
1998	CQF	C	BOS	CAR	4	2	0	16	10	640
1998	CQF	D	TOR	PHI	4	2	0	9	11	641
1998	CQF	E	DAL	EDM	4	0	0	11	7	642
1998	CQF	F	COL	SJS	4	2	0	19	17	643
1998	CQF	G	DET	ANA	4	0	0	17	6	644
1998	CQF	H	STL	PHO	4	3	0	19	16	645
1998	CSF	I	TOR	PIT	4	2	0	18	14	646
1998	CSF	J	BUF	BOS	4	2	0	17	14	647
1998	CSF	K	DAL	STL	4	2	0	17	12	648
1998	CSF	L	COL	DET	4	2	0	21	14	649
1998	CF	M	BUF	TOR	4	1	0	21	16	650
1998	CF	N	DAL	COL	4	3	0	23	16	651
1998	SCF	O	DAL	BUF	4	2	0	13	9	652
1999	CQF	A	PHI	BUF	4	1	0	14	8	653
1999	CQF	B	PIT	WAS	4	1	0	17	8	654
1999	CQF	C	TOR	OTT	4	2	0	17	10	655
1999	CQF	D	NJD	FLO	4	0	0	12	6	656
1999	CQF	E	SJS	STL	4	3	0	20	22	657
1999	CQF	F	DAL	EDM	4	1	0	14	11	658
1999	CQF	G	COL	PHO	4	1	0	17	10	659
1999	CQF	H	DET	LAK	4	0	0	15	6	660
1999	CSF	I	PHI	PIT	4	2	0	15	14	661
1999	CSF	J	NJD	TOR	4	2	0	16	9	662
1999	CSF	K	DAL	SJS	4	1	0	15	7	663
1999	CSF	L	COL	DET	4	1	0	13	8	664
1999	CF	M	NJD	PHI	4	3	0	18	15	665
1999	CF	N	DAL	COL	4	3	0	14	13	666
1999	SCF	O	NJD	DAL	4	2	0	15	9	667
2000	CQF	A	NJD	CAR	4	2	0	20	8	668
2000	CQF	B	TOR	OTT	4	0	0	10	3	669
2000	CQF	C	PIT	WAS	4	2	0	14	10	670
2000	CQF	D	BUF	PHI	4	2	0	21	13	671
2000	CQF	E	COL	VAN	4	0	0	16	9	672
2000	CQF	F	LAK	DET	4	2	0	15	17	673
2000	CQF	G	DAL	EDM	4	2	0	16	13	674
2000	CQF	H	STL	SJS	4	2	0	16	11	675
2000	CSF	I	NJD	TOR	4	3	0	21	18	676
2000	CSF	J	PIT	BUF	4	3	0	17	17	677
2000	CSF	K	COL	LAK	4	3	0	17	10	678
2000	CSF	L	STL	DAL	4	0	0	13	6	679
2000	CF	M	NJD	PIT	4	1	0	17	7	680
2000	CF	N	COL	STL	4	1	0	17	11	681
2000	SCF	O	COL	NJD	4	3	0	19	11	682
2001	CQF	A	MTL	BOS	4	2	0	20	18	683
2001	CQF	B	OTT	PHI	4	1	0	11	2	684
2001	CQF	C	CAR	NJD	4	2	0	9	11	685
2001	CQF	D	TOR	NYI	4	3	0	22	21	686
2001	CQF	E	DET	VAN	4	2	0	22	16	687
2001	CQF	F	COL	LAK	4	3	0	16	13	688
2001	CQF	G	SJS	PHO	4	1	0	13	7	689
2001	CQF	H	STL	CHI	4	1	0	13	5	690
2001	CSF	I	CAR	MTL	4	2	0	21	12	691
2001	CSF	J	TOR	OTT	4	3	0	16	18	692
2001	CSF	K	DET	STL	4	1	0	14	11	693
2001	CSF	L	COL	SJS	4	3	0	25	21	694
2001	CF	M	CAR	TOR	4	2	0	10	6	695
2001	CF	N	DET	COL	4	3	0	22	13	696
2001	SCF	O	DET	CAR	4	1	0	14	7	697
2002	CQF	A	OTT	NYI	4	1	0	13	7	698
2002	CQF	B	NJD	BOS	4	1	0	13	8	699
2002	CQF	C	TBL	WAS	4	2	0	14	15	700
2002	CQF	D	PHI	TOR	4	3	0	24	16	701
2002	CQF	E	DAL	EDM	4	2	0	20	11	702
2002	CQF	F	ANA	DET	4	0	0	10	6	703
2002	CQF	G	MIN	COL	4	3	0	16	17	704
2002	CQF	H	VAN	STL	4	3	0	17	21	705
2002	CSF	I	OTT	PHI	4	2	0	17	10	706
2002	CSF	J	NJD	TBL	4	1	0	14	8	707
2002	CSF	K	ANA	DAL	4	2	0	14	14	708
2002	CSF	L	MIN	VAN	4	3	0	26	17	709
2002	CF	M	NJD	OTT	4	3	0	17	13	710
2002	CF	N	ANA	MIN	4	0	0	9	1	711
2002	SCF	O	NJD	ANA	4	3	0	19	12	712
2003	CQF	A	TBL	NYI	4	1	0	12	5	713
2003	CQF	B	MTL	BOS	4	3	0	19	14	714
2003	CQF	C	PHI	NJD	4	1	0	14	9	715
2003	CQF	D	TOR	OTT	4	3	0	14	11	716
2003	CQF	E	DET	NAS	4	2	0	12	9	717
2003	CQF	F	SJS	STL	4	1	0	12	9	718
2003	CQF	G	CAL	VAN	4	3	0	19	16	719
2003	CQF	H	COL	DAL	4	1	0	19	10	720
2003	CSF	I	TBL	MTL	4	0	0	14	5	721
2003	CSF	J	PHI	TOR	4	2	0	17	13	722
2003	CSF	K	CAL	DET	4	2	0	11	12	723
2003	CSF	L	SJS	COL	4	2	0	14	7	724
2003	CF	M	TBL	PHI	4	3	0	21	19	725
2003	CF	N	CAL	SJS	4	2	0	16	12	726
2003	SCF	O	TBL	CAL	4	3	0	13	14	727
2005	CQF	A	OTT	TBL	4	1	0	23	13	728
2005	CQF	B	CAR	MTL	4	2	0	15	17	729
2005	CQF	C	NJD	NYR	4	0	0	17	4	730
2005	CQF	D	BUF	PHI	4	2	0	27	14	731
2005	CQF	E	EDM	DET	4	2	0	19	17	732
2005	CQF	F	COL	DAL	4	1	0	18	15	733
2005	CQF	G	ANA	CAL	4	3	0	17	16	734
2005	CQF	H	SJS	NAS	4	1	0	17	10	735
2005	CSF	I	BUF	OTT	4	1	0	16	13	736
2005	CSF	J	CAR	NJD	4	1	0	17	10	737
2005	CSF	K	EDM	SJS	4	2	0	19	12	738
2005	CSF	L	ANA	COL	4	0	0	16	4	739
2005	CF	M	CAR	BUF	4	3	0	22	17	740
2005	CF	N	EDM	ANA	4	1	0	16	13	741
2005	SCF	O	CAR	EDM	4	3	0	19	16	742
2006	CQF	A	BUF	NYI	4	1	0	17	11	743
2006	CQF	B	NJD	TBL	4	2	0	19	14	744
2006	CQF	C	NYR	ATL	4	0	0	17	6	745
2006	CQF	D	OTT	PIT	4	1	0	18	10	746
2006	CQF	E	DET	CAL	4	2	0	18	10	747
2006	CQF	F	AND	MIN	4	1	0	12	9	748
2006	CQF	G	VAN	DAL	4	3	0	13	12	749
2006	CQF	H	SJS	NAS	4	1	0	16	14	750
2006	CSF	I	BUF	NYR	4	2	0	17	13	751
2006	CSF	J	OTT	NJD	4	1	0	15	11	752
2006	CSF	K	DET	SJS	4	2	0	13	9	753
2006	CSF	L	AND	VAN	4	1	0	14	8	754
2006	CF	M	OTT	BUF	4	1	0	15	10	755
2006	CF	N	AND	DET	4	2	0	16	17	756
2006	SCF	O	AND	OTT	4	1	0	16	11	757
2007	CQF	A	MTL	BOS	4	3	0	19	15	758
2007	CQF	B	PIT	OTT	4	0	0	16	5	759
2007	CQF	C	PHI	WAS	4	3	0	23	20	760
2007	CQF	D	NYR	NJD	4	1	0	19	12	761
2007	CQF	E	DET	NAS	4	2	0	17	12	762
2007	CQF	F	SJS	CAL	4	3	0	19	17	763
2007	CQF	G	COL	MIN	4	2	0	17	12	764
2007	CQF	H	DAL	AND	4	2	0	20	13	765
2007	CSF	I	PHI	MTL	4	1	0	20	14	766
2007	CSF	J	PIT	NYR	4	1	0	15	12	767
2007	CSF	K	DET	COL	4	0	0	21	9	768
2007	CSF	L	DAL	SJS	4	2	0	15	11	769
2007	CF	M	PIT	PHI	4	1	0	20	9	770
2007	CF	N	DET	DAL	4	2	0	17	10	771
2007	SCF	O	DET	PIT	4	2	0	17	10	772
2008	CQF	A	BOS	MTL	4	0	0	17	6	773
2008	CQF	B	WAS	NYR	4	3	0	19	11	774
2008	CQF	C	CAR	NJD	4	3	0	17	15	775
2008	CQF	D	PIT	PHI	4	2	0	18	16	776
2008	CQF	E	AND	SJS	4	2	0	18	10	777
2008	CQF	F	DET	CBS	4	0	0	18	7	778
2008	CQF	G	VAN	STL	4	0	0	11	5	779
2008	CQF	H	CHI	CAL	4	2	0	21	16	780
2008	CSF	I	CAR	BOS	4	3	0	16	17	781
2008	CSF	J	PIT	WAS	4	3	0	27	22	782
2008	CSF	K	DET	AND	4	3	0	22	17	783
2008	CSF	L	CHI	VAN	4	2	0	23	19	784
2008	CF	M	PIT	CAR	4	0	0	20	9	785
2008	CF	N	DET	CHI	4	1	0	19	10	786
2008	SCF	O	PIT	DET	4	3	0	14	17	787
2009	CQF	A	MTL	WAS	4	3	0	20	22	788
2009	CQF	B	PHI	NJD	4	1	0	15	9	789
2009	CQF	C	BOS	BUF	4	2	0	16	15	790
2009	CQF	D	PIT	OTT	4	2	0	24	19	791
2009	CQF	E	SJS	COL	4	2	0	19	11	792
2009	CQF	F	CHI	NAS	4	2	0	17	15	793
2009	CQF	G	VAN	LAK	4	2	0	25	18	794
2009	CQF	H	DET	PHO	4	3	0	26	18	795
2009	CSF	I	MTL	PIT	4	3	0	19	18	796
2009	CSF	J	PHI	BOS	4	3	0	22	20	797
2009	CSF	K	SJS	DET	4	1	0	15	17	798
2009	CSF	L	CHI	VAN	4	2	0	23	18	799
2009	CF	M	PHI	MTL	4	1	0	17	7	800
2009	CF	N	CHI	SJS	4	0	0	13	7	801
2009	SCF	O	CHI	PHI	4	2	0	25	22	802
2010	CQF	A	WAS	NYR	4	1	0	13	8	803
2010	CQF	B	PHI	BUF	4	3	0	22	18	804
2010	CQF	C	BOS	MTL	4	3	0	17	17	805
2010	CQF	D	TBL	PIT	4	3	0	22	14	806
2010	CQF	E	VAN	CHI	4	3	0	16	22	807
2010	CQF	F	SJS	LAK	4	2	0	20	20	808
2010	CQF	G	DET	PHO	4	0	0	18	10	809
2010	CQF	H	NAS	AND	4	2	0	22	20	810
2010	CSF	I	TBL	WAS	4	0	0	16	10	811
2010	CSF	J	BOS	PHI	4	0	0	20	7	812
2010	CSF	K	VAN	NAS	4	2	0	14	11	813
2010	CSF	L	SJS	DET	4	3	0	18	18	814
2010	CF	M	BOS	TBL	4	3	0	21	21	815
2010	CF	N	VAN	SJS	4	1	0	20	13	816
2010	SCF	O	BOS	VAN	4	3	0	23	8	817
2011	CQF	A	NYR	OTT	4	3	0	14	13	818
2011	CQF	B	WAS	BOS	4	3	0	16	15	819
2011	CQF	C	NJD	FLO	4	3	0	18	17	820
2011	CQF	D	PHI	PIT	4	2	0	30	26	821
2011	CQF	E	LAK	VAN	4	1	0	12	8	822
2011	CQF	F	STL	SJS	4	1	0	14	8	823
2011	CQF	G	PHO	CHI	4	2	0	17	12	824
2011	CQF	H	NAS	DET	4	1	0	13	9	825
2011	CSF	I	NYR	WAS	4	3	0	15	13	826
2011	CSF	J	NJD	PHI	4	1	0	18	11	827
2011	CSF	K	LAK	STL	4	0	0	15	6	828
2011	CSF	L	PHO	NAS	4	1	0	12	9	829
2011	CF	M	NJD	NYR	4	2	0	15	14	830
2011	CF	N	LAK	PHO	4	1	0	14	8	831
2011	SCF	O	LAK	NJD	4	2	0	16	8	832
